Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
CHIS-1071,Channel Islands National Park,Bird,Anseriformes,Anatidae,Bucephala albeola,Bufflehead,Approved,Present,Native,Occasional,Vagrant,
CHIS-1072,Channel Islands National Park,Bird,Anseriformes,Anatidae,Bucephala clangula,Common Goldeneye,Approved,Present,Native,Occasional,Vagrant,
CHIS-1073,Channel Islands National Park,Bird,Anseriformes,Anatidae,Chen caerulescens,Snow Goose,Approved,Present,Native,Rare,Migratory,
CHIS-1074,Channel Islands National Park,Bird,Anseriformes,Anatidae,Chen rossii,Ross' Goose,Approved,Present,Native,Occasional,Vagrant,
CHIS-1075,Channel Islands National Park,Bird,Anseriformes,Anatidae,Histrionicus histrionicus,Harlequin Duck,Approved,Present,Native,Occasional,Vagrant,
CHIS-1076,Channel Islands National Park,Bird,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,Approved,Present,Native,Occasional,Vagrant,
CHIS-1077,Channel Islands National Park,Bird,Anseriformes,Anatidae,Melanitta fusca,White-Winged Scoter,Approved,Present,Native,Common,Migratory,
CHIS-1078,Channel Islands National Park,Bird,Anseriformes,Anatidae,Melanitta nigra,Black Scoter,Approved,Present,Native,Occasional,Vagrant,
CHIS-1079,Channel Islands National Park,Bird,Anseriformes,Anatidae,Melanitta perspicillata,Surf Scoter,Approved,Present,Native,Abundant,Migratory,
CHIS-1080,Channel Islands National Park,Bird,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser,Approved,Present,Native,Uncommon,Migratory,
CHIS-1081,Channel Islands National Park,Bird,Anseriformes,Anatidae,Oxyura jamaicensis,Ruddy Duck,Approved,Present,Native,Rare,Migratory,
CHIS-1082,Channel Islands National Park,Bird,Apodiformes,Apodidae,Aeronautes saxatalis,White-Throated Swift,Approved,Present,Native,Uncommon,Breeder,
CHIS-1083,Channel Islands National Park,Bird,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift,Approved,Present,Native,Occasional,Vagrant,
CHIS-1084,Channel Islands National Park,Bird,Apodiformes,Apodidae,Chaetura vauxi,Vaux's Swift,Approved,Present,Native,Uncommon,Vagrant,Species of Concern
CHIS-1085,Channel Islands National Park,Bird,Apodiformes,Apodidae,Cypseloides niger,Black Swift,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1086,Channel Islands National Park,Bird,Apodiformes,Trochilidae,Archilochus alexandri,Black-Chinned Hummingbird,Approved,Present,Native,Occasional,Vagrant,
CHIS-1087,Channel Islands National Park,Bird,Apodiformes,Trochilidae,Calypte anna,Anna's Hummingbird,Approved,Present,Native,Uncommon,Breeder,
CHIS-1088,Channel Islands National Park,Bird,Apodiformes,Trochilidae,Calypte costae,Costa's Hummingbird,Approved,Present,Native,Rare,Breeder,
CHIS-1089,Channel Islands National Park,Bird,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,Approved,Present,Native,Uncommon,Vagrant,Species of Concern
CHIS-1090,Channel Islands National Park,Bird,Apodiformes,Trochilidae,Selasphorus sasin,Allen's Hummingbird,Approved,Present,Native,Abundant,Breeder,
CHIS-1091,Channel Islands National Park,Bird,Apodiformes,Trochilidae,Stellula calliope,Calliope Hummingbird,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1092,Channel Islands National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Lesser Nighthawk,Approved,Present,Native,Uncommon,Vagrant,Species of Concern
CHIS-1093,Channel Islands National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles minor,Common Nighthawk,Approved,Present,Native,Occasional,Vagrant,
CHIS-1094,Channel Islands National Park,Bird,Caprimulgiformes,Caprimulgidae,Phalaenoptilus nuttallii,Common Poorwill,Approved,Present,Native,Uncommon,Vagrant,
CHIS-1095,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Brachyramphus marmoratus,Marbled Murrelet,Approved,Present,Native,Occasional,Vagrant,Threatened
CHIS-1096,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Cepphus columba,Pigeon Guillemot,Approved,Present,Native,Uncommon,Breeder,
CHIS-1097,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Cerorhinca monocerata,Rhinoceros Auklet,Approved,Present,Native,Occasional,Breeder,
CHIS-1098,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Fratercula cirrhata,Tufted Puffin,Approved,Present,Native,Occasional,Breeder,Under Review
CHIS-1099,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Fratercula corniculata,Horned Puffin,Approved,Present,Native,Occasional,Vagrant,
CHIS-1100,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Ptychoramphus aleuticus,Cassin's Auklet,Approved,Present,Native,Common,Breeder,Species of Concern
CHIS-1101,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Synthliboramphus antiquus,Ancient Murrelet,Approved,Present,Native,Occasional,Vagrant,
CHIS-1102,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Synthliboramphus craveri,Craveri's Murrelet,Approved,Present,Native,Occasional,Vagrant,
CHIS-1103,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Synthliboramphus hypoleucus,Xantus' Murrelet,Approved,Present,Native,Common,Breeder,Under Review
CHIS-1104,Channel Islands National Park,Bird,Charadriiformes,Alcidae,Uria aalge,Common Murre,Approved,Present,Native,Uncommon,Migratory,
CHIS-1105,Channel Islands National Park,Bird,Charadriiformes,Charadriidae,Charadrius alexandrinus,Snowy Plover,Approved,Present,Native,Rare,Breeder,
